District,pct_ICU,daily_tests_per_million_14ma,TPR,rate_increase_new_cases,daily_cases_per_million,category,dates,is_change
Nanded,100,594.6581235764029,3.3424166120520162,67.18266253869969,2339.2790629317537,RED,2021-03-02,False
Nanded,100,611.3547436512948,3.4155343063244423,68.36935166994105,2931.9083257271313,RED,2021-03-03,False
Nanded,100,623.4567164328503,3.49728573778582,69.70837253057385,2676.9468406791198,RED,2021-03-04,False
Nanded,100,637.0560519483952,3.567518835726705,66.15523465703971,3039.3075043762933,RED,2021-03-05,False
Nanded,100,651.4143247400713,3.99584356697525,75.177304964539,3030.6798695263606,RED,2021-03-06,False
Nanded,100,665.1572429835326,4.292586653509313,70.04310344827586,3314.499305624147,RED,2021-03-07,False
Nanded,100,663.8855102505554,4.523265154792066,70.15027322404372,2601.380659579709,RED,2021-03-08,False
Nanded,100,673.5055530209785,4.839348256433683,69.41472624292007,2953.328660526964,RED,2021-03-09,False
Nanded,100,680.6846894168165,5.2855205665210185,69.27023945267959,4063.6160143183038,RED,2021-03-10,False
Nanded,100,688.1920149050359,5.6689815504753955,68.08622502628812,4259.374074016777,RED,2021-03-11,False
Nanded,100,694.7557967526591,6.0317085412299605,64.65981399902104,4705.631049013296,RED,2021-03-12,False
Nanded,100,700.909342234806,6.906441134295163,66.31355932203391,4641.667549263795,RED,2021-03-13,False
Nanded,100,714.5907250234461,7.956828750215283,69.15584415584416,4944.527282961432,RED,2021-03-14,False
Nanded,100,732.3334478303029,8.590314539394448,70.0684708183893,4477.742487115073,RED,2021-03-15,False
Nanded,100,750.1787297285289,9.714816941459546,72.72727272727272,5314.623067558546,RED,2021-03-16,False
Nanded,100,768.947043449077,10.587387964148528,74.35122197026959,6895.860282296212,RED,2021-03-17,False
Nanded,100,788.9870899026021,12.000519953204211,76.97140381282495,7685.437623390054,RED,2021-03-18,False
Nanded,100,810.1963099977349,13.461100281019773,79.16118111717132,7640.216916590406,RED,2021-03-19,False
Nanded,100,836.2052955689427,14.531361149949714,78.57866306549629,8070.111135837054,RED,2021-03-20,False
Nanded,100,863.4655020548533,16.661915621436716,80.15397775876818,9084.304487679143,RED,2021-03-21,False
Nanded,100,883.6901548728429,18.578524673877723,81.70914542728636,7332.00209919281,RED,2021-03-22,False
Nanded,100,905.9454776999409,21.452668281748817,83.22955145118733,8538.085950283403,RED,2021-03-23,False
Nanded,100,933.5543850965067,22.578164480478105,82.93110159595173,9477.01062567608,RED,2021-03-24,False
Nanded,100,965.860498877778,24.375637104994905,83.42916884474647,10695.887176716573,RED,2021-03-25,False
Nanded,100,1000.3203535778007,25.266568241469816,83.41989936698587,10978.516594214367,RED,2021-03-26,False
